date,births
1944-01-01,122.8794521
1945-01-01,125.5890411
1946-01-01,180.8849315
1947-01-01,193.6575342
1948-01-01,166.5890411
1949-01-01,154.9232877
1950-01-01,147.0136986
1951-01-01,143.5260274
1952-01-01,140.939726
1953-01-01,139.7041096
1954-01-01,139.0273973
1955-01-01,136.509589
1956-01-01,142.9342466
1957-01-01,144.4739726
1958-01-01,148.3616438
1959-01-01,151.2082192
1960-01-01,157.1726027
1961-01-01,164.5260274
1962-01-01,171.2986301
1963-01-01,173.9726027
1964-01-01,173.9726027
1965-01-01,173.9726027
