,I
389,462.563741430267
390,510.60400094705926
391,560.4100141483106
392,610.6682938737695
393,659.7637045701098
394,705.8564754830492
395,747.0056598499581
396,781.3285663726147
397,807.1755956373016
398,823.2933507687295
399,828.948590265116
400,823.9922980900039
401,808.8550864684427
402,784.4786937947965
403,752.1995528193489
404,713.606578894338
405,670.3957863701552
406,624.2402293743664
407,576.6871956639742
408,529.0876900284665
409,482.5575414304111
410,437.9656588552434
411,395.9430693252695
412,356.9060165592482
413,321.08705519545634
414,288.56925206517974
415,259.31993050161185
416,233.22162981058275
417,210.09897896920276
418,189.7409625084797
419,171.91859838814207
420,156.3983885293488
421,142.95208704167067
422,131.36340236275953
423,121.43224483096549
424,112.9770802666429
425,105.83587497611325
426,99.86603357536261
427,94.94364812077947
428,90.96230108826356
429,87.83159867964919
430,85.47555571819848
431,83.83090880149736
432,82.8453995906686
433,82.47604413019708
434,82.68738601372597
435,83.44972040093724
436,84.73727203285681
437,86.5263134528448
438,88.7932197272145
439,91.5124730893052
440,94.65465470165044
441,98.18448993675118
442,102.05904582884587
443,106.22621080454303
444,110.62361213964691
445,115.17813938325263
446,119.80623555967989
447,124.41508673001795
448,128.90478167562395
449,133.1714286862003
450,137.1111128432751
451,140.6244674696614
452,143.62153436527032
453,146.02651713295722
454,147.7820058529845
455,148.85227878600196
456,149.22536777137566
457,148.91369876599498
458,147.9532694674818
459,146.40147942597278
460,144.33386171975488
461,141.84006094387516
462,139.01944949957024
463,135.97677154441462
464,132.81815821894162
465,129.64778143787018
466,126.56532177083719
467,123.66433341274012
468,121.03150779443952
469,118.74677469925301
470,116.88413911321207
471,115.51313289097554
472,114.70075930442223
473,114.51382065343016
474,115.02153872285018
475,116.29839940322118
476,118.4271711074164
477,121.5020569895203
478,125.63193887337613
479,130.9436515114121
480,137.5851840532349
481,145.72863539651794
482,155.5726448767123
483,167.34387340139986
484,181.29691907625053
485,197.711818457717
486,216.88802524870815
487,239.13350923011467
488,264.7474478895118
489,293.9950011806276
490,327.07301967038967
491,364.0664214496348
492,404.8965530809114
493,449.2651952333655
494,496.60083267049475
495,546.0168753233662
496,596.2937680824714
497,645.8971269737507
498,693.0410118687186
499,735.7986749223164
500,772.2533686615207
501,800.6713263057436
502,819.6711199614776
503,828.3613269184087
504,826.4232077879121
505,814.125853844131
506,792.2747661447709
507,762.1070606130305
508,725.1542703164467
509,683.0957606259873
510,637.622777487023
511,590.3270534893607
512,542.6209098666815
513,495.68964402466423
514,450.4726142881262
515,407.66701998003674
516,367.7476315695443
517,330.99614625974846
518,297.53491573104236
519,267.3611044959523
520,240.37861530573906
521,216.426211598991
522,195.3011172819203
523,176.77798080864122
524,160.6234844890023
525,146.6071045161831
526,134.50862667571045
527,124.1230363659499
528,115.26336130319912
529,107.76197523517628
530,101.47078829189776
531,96.26066563523072
532,92.02033773300334
533,88.65499653232504
534,86.08471347424033
535,84.24276772804883
536,83.07393553103756
537,82.53276311649752
538,82.5818254511443
539,83.18996016062353
540,84.33046019091088
541,85.97920982899902
542,88.1127567764462
543,90.70632810700019
544,93.73181989962727
545,97.15581818494898
546,100.93774055938864
547,105.02821999493473
548,109.36788008623849
549,113.88666805096751
550,118.50391150610172
551,123.12924132854492
552,127.6644720073085
553,132.0064530278451
554,136.05080551313307
555,139.6963487658206
556,142.84991737304807
557,145.43118921839212
558,147.37710476689648
559,148.6454697065154
560,149.2173993178544
561,149.09837678830982
562,148.31784308649134
563,146.9273910864642
564,144.99777812486175
565,142.61507917202337
566,139.8763644213314
567,136.88529634441414
568,133.74800672984117
569,130.56954511130147
570,127.45110103705183
571,124.48810893135536
572,121.76925868361005
573,119.3763665165543
574,117.38501364585738
575,115.86583519720274
576,114.88633611400482
577,114.51311971944723
578,114.81443264695405
579,115.86295138783409
580,117.73875544193228
581,120.5324451681877
582,124.34836436507564
583,129.30787374438802
584,135.55258671913546
585,143.24741751186073
586,152.58319705716585
587,163.778478123871
588,177.07997291123462
589,192.7608445830731
590,211.1158198692937
591,232.45183260115326
592,257.07270610207263
593,285.2563328259285
594,317.22305395274714
595,353.0946575801563
596,392.84478181276745
597,436.24363848342165
598,482.80279018148576
599,531.7288245691232
600,581.8973698444016
601,631.8598127116694
602,679.893069021616
603,724.0970445718183
604,762.5353557483933
605,793.4043079352589
606,815.206142684493
607,826.8984411593334
608,827.9943258342473
609,818.5973984010272
610,799.3684747918269
611,771.4341589467066
612,736.2565679392686
613,695.4872098224802
614,650.8262994362658
615,603.9033586789907
616,556.1880107136263
617,508.9333597987365
618,463.1494173452193
619,419.6010744662914
620,378.8239475961647
621,341.1515663378972
622,306.7483051968624
623,275.6437374473556
624,247.76539693274495
625,222.96808897732393
626,201.05881326471535
627,181.81703554552715
628,165.01049560639288
629,150.40700727831313
630,137.78283720203788
631,126.92828368695784
632,117.65104938870977
633,109.77793798695146
634,103.15532459776857
635,97.64876519325733
636,93.14202987576891
637,89.53577293385003
638,86.7459911659766
639,84.70237136987102
640,83.34658762186349
641,82.63057807433695
642,82.51480849750594
643,82.96651488510695
644,83.95790963185333
645,85.46433488939634
646,87.46235276728552
647,89.92777517061127
648,92.83365613842952
649,96.14829586876563
650,99.83333651629492
651,103.842062336397
652,108.11804632943479
653,112.59430634076713
654,117.19313891900023
655,121.82678272763198
656,126.39902034531663
657,130.8077567981731
658,134.9485190591011
659,138.71871262741243
660,142.02236388626184
661,144.77498799723847
662,146.9081691124289
663,148.37343592072344
664,149.1450665333427
665,149.22155827550145
666,148.62563641978926
667,147.40283064654628
668,145.618795683224
669,143.3556718424381
670,140.70785687503061
671,137.77758607569243
672,134.67069521287482
673,131.49288019690985
674,128.34668251412015
675,125.32933564063471
676,122.53151860365836
677,120.03698873871822
678,117.92301227712419
679,116.26148022045223
680,115.12058611645695
681,114.56694763752277
682,114.66806989290035
683,115.49506950751304
684,117.12559926494683
685,119.64692858947573
686,123.15914073049596
687,127.77839865106559
688,133.6402033997464
689,140.9025155843115
690,149.7485261709007
691,160.38874067000157
692,173.06187546682278
693,188.03385520175735
694,205.59395306578358
695,226.04685501390205
696,249.69920319115334
697,276.8390684144969
698,307.70694513854716
699,342.45742438773084
700,381.1118655872966
701,423.504297007456
702,469.2254185592556
703,517.572670794433
704,567.5171857218013
705,617.6999644175347
706,666.4685629742129
707,711.9609375340011
708,752.2348691966645
709,785.4309746588671
710,809.9475185256522
711,824.5994449765976
712,828.7347576190562
713,822.2889889102996
714,805.7709086953746
715,780.1860524298509
716,746.9152588096177
717,707.5707559832734
718,663.8520402999294
719,617.419194900276
720,569.794566189456
721,522.2969242853832
722,476.0067794009607
723,431.7580027004106
724,390.1492568984089
725,351.5685631040193
726,316.22508772295595
727,284.18344936274883
728,255.39716814326243
729,229.73909060004286
730,207.02761543596466
731,187.04828877181532
732,169.5708481161612
733,154.36211005292043
734,141.19526238537838
735,129.85617979847387
736,120.14736925460319
737,111.89009582984298
738,104.92516253190014
739,99.11273332860253
740,94.33150645629247
741,90.4774704429453
742,87.46241075841681
743,85.2122813458515
744,83.66551215722896
745,82.77129034628679
746,82.48782796583598
747,82.7806120058041
748,83.62062280177062
749,84.9825039709164
750,86.84267109067153
751,89.17735743834155
752,91.96061323675326
753,95.16229950904368
754,98.74614748190699
755,102.66798690543362
756,106.87427761718402
757,111.30110265342708
758,115.87379166697097
759,120.50733373012265
760,125.10770349575284
761,129.574161902949
762,133.80250451877424
763,137.68912517832916
764,141.13565322478505
765,144.0538265543617
766,146.37019779740086
767,148.0302521780603
768,149.00155092215775
769,149.2756022054394
770,148.86829143379592
771,147.81885510943908
772,146.1875345916391
773,144.05217533377376
774,141.50412640691772
775,138.64383512401875
776,135.57652219239816
777,132.4082718038469
778,129.24279153750885
779,126.17900416867431
780,123.30954184535503
781,120.72013391816643
782,118.48982004258839
783,116.69188270169033
784,115.39537699309464
785,114.66713671838657
786,114.57414935311299
787,115.18621269818347
788,116.57880740021456
789,118.83613699662384
790,122.05429601461445
791,126.34452239726674
792,131.8364683723515
793,138.68137845440683
794,147.05498846746565
795,157.15984873551156
796,169.22662199132023
797,183.51370917123631
798,200.30431832402638
799,219.89983127663893
800,242.60808005223194
801,268.724994108059
802,298.5081362215373
803,332.1410684730758
804,369.68846514752204
805,411.04357792616565
806,455.8721074378271
807,503.5595490085938
808,553.1720950257429
809,603.443211356521
810,652.7978058974419
811,699.4223517175178
812,741.3820492509227
813,776.7760866520199
814,803.9117467614051
815,821.47084917498
816,828.6407186299305
817,825.1876242937196
818,811.4620117096043
819,788.3384091721306
820,757.1046359894133
821,719.3219214858669
822,676.6787842823262
823,630.8579486473566
824,583.4292244447827
825,535.7743251361717
826,489.0436677661896
827,444.14110622349835
828,401.7304007960138
829,362.2566830297247
830,325.9767179270601
831,292.9928926400029
832,263.2871807393804
833,236.7525889445547
834,213.2206534821611
835,192.48436749678163
836,174.31649471027146
837,158.48359143243434
838,144.75626305238555
839,132.91626611364595
840,122.7610713001339
841,114.10645687894406
842,106.78762942480606
843,100.65928522915719
844,95.5949423270587
845,91.4857959269011
846,88.23928247755023
847,85.77748084638827
848,84.0354330189565
849,82.95943060460608
850,82.50528625037236
851,82.6365899024432
852,83.32293803179266
853,84.53811909685409
854,86.25824058360591
855,88.45979204376484
856,91.11765469347502
857,94.20309101873683
858,97.68177639308034
859,101.51196674738269
860,105.64292821354822
861,110.01378126966549
862,114.55292692862876
863,119.17821921526807
864,123.79802073453946
865,128.3132232463477
866,132.62023374353177
867,136.614824910309
868,140.19663897050887
869,143.2740321833407
870,145.76887172204042
871,147.62086353164065
872,148.7910093186957
873,149.26386457806652
874,149.04838909837943
875,148.1773296301628
876,146.70522897025208
877,144.70529355198238
878,142.26545362706244
879,139.48400460272316
880,136.46522234432086
881,133.31530497374087
882,130.13892078804486
883,127.03655137336493
884,124.1027257126575
885,121.42515743709588
886,119.08473167279992
887,117.15624408226957
888,115.70977262789827
889,114.81255925973062
890,114.53128931157487
891,114.9346752793654
892,116.09627324810558
893,118.09747931200184
894,121.03066512263779
895,125.00241166324813
896,130.13678381895014
897,136.5785501247801
898,144.4961863221006
899,154.08440153912275
900,165.56578575597595
901,179.190992599099
902,195.23664406308856
903,213.99988666845246
904,235.7882748972739
905,260.90347073531603
906,289.6172310974285
907,322.13845540012477
908,358.5708645113899
909,398.86235525801396
910,442.7493130540457
911,489.7020572104753
912,538.8806904807428
913,589.1130606738843
914,638.9071118121392
915,686.5073883738509
916,729.9992083672947
917,767.4545892790894
918,797.1034590822322
919,817.505208443995
920,827.6924269588683
921,827.262440320744
922,816.4023215286905
923,795.8464026756313
924,766.7779508791107
925,730.6952075103244
926,689.2648481823668
927,644.1835446051653
928,597.0625195956445
929,549.3430076000574
930,502.24419135608684
931,456.74052992154765
932,413.56271027873174
933,373.2155019981848
934,336.0060816131299
935,302.0773995165102
936,271.44245903377765
937,244.01667142323544
938,219.64657539442376
939,198.1340955248786
940,179.25615382358745
941,162.77987039746742
942,148.47383510669033
943,136.11604685668894
944,125.49914097436188
945,116.43349093222648
946,108.74870371843498
947,102.29394647400011
948,96.93745774543471
949,92.56551729558531
950,89.08107792594534
951,86.4022028859034
952,84.46040338314688
953,83.19893184252123
954,82.57105692517732
955,82.5383249485859
956,83.06879847959816
957,84.13525605350299
958,85.71333705853458
959,87.77962288901016
960,90.3096596032464
961,93.27594834713496
962,96.64595690822613
963,100.38023710835955
964,104.4307651252731
965,108.73965054750889
966,113.2383789800532
967,117.8477556160054
968,122.47869712824105
969,127.03397231346119
970,131.41091769423036
971,135.50505746152632
972,139.21444812267765
973,142.44446232178555
974,145.11264147934764
975,147.1532002754571
976,148.52076992099683
977,149.19302584980915
978,149.17195332084333
979,148.48364658009604
980,147.17669239743117
981,145.3193336023816
982,142.9957220369603
983,140.30163907182185
984,137.34008018845833
985,134.21707157962138
986,131.03802168700625
987,127.90482351486655
988,124.91382965817645
989,122.15473454830575
990,119.71032700776206
991,117.65702596287522
992,116.0660840704641
993,115.00533576905363
994,114.54137342778338
995,114.74205236304172
996,115.67924686468156
997,117.43179967350326
998,120.08862169080427
999,123.75190250549818
1000,128.54038100651982
1001,134.5925939169235
1002,142.0699628543815
1003,151.15949111353015
1004,162.07571329801763
1005,175.0613691839964
1006,190.3860572712472
1007,208.34187251813555
1008,229.23477316066834
1009,253.37020679853373
1010,281.03144713566513
1011,312.4492850595934
1012,347.7623550336179
1013,386.96864325198055
1014,429.8707437391166
1015,476.0201627113026
1016,524.6690799199505
1017,574.7407129497527
1018,624.8306663924635
1019,673.2501187196211
1020,718.1165251951505
1021,757.4888481447333
1022,789.5338010716074
1023,812.700170235668
1024,825.8732943417672
1025,828.4835182375875
1026,820.5509189933292
1027,802.661410834019
1028,775.8825802029204
1029,741.6375631162122
1030,701.5597943598816
1031,657.350433890234
1032,610.6552334047183
1033,562.9707515455364
1034,515.5831583750997
1035,469.5376729987678
1036,425.63343857315687
1037,384.4372358929448
1038,346.3094246820745
1039,311.4363516865638
1040,279.8647145575198
1041,251.53468755462492
1042,226.309799057766
1043,204.0025078577628
1044,184.39513358296495
1045,167.2562766887172
1046,152.35315496759017
1047,139.46043139766866
1048,128.36615422208058
1049,118.87540962197684
1050,110.81222760252912
1051,104.02020276010093
1052,98.36220712224626
1053,93.71949091170325
1054,89.99039378819704
1055,87.08882613843589
1056,84.94262786981005
1057,83.49187047398514
1058,82.68713595674672
1059,82.48778258742887
1060,82.86019146987492
1061,83.77597913093123
1062,85.21015943519737
1063,87.13924319164646
1064,89.53927593043814
1065,92.38383343085562
1066,95.64202008281902
1067,99.27654555703451
1068,103.24198775699949
1069,107.48338035159114
1070,111.9352856427338
1071,116.52152149393699
1072,121.15569800876243
1073,125.74268064327266
1074,130.18102977889663
1075,134.36637560553302
1076,138.19558025932207
1077,141.57143060278113
1078,144.4075123407296
1079,146.63285709240364
1080,148.1959426847393
1081,149.0676701017238
1082,149.24303547457393
1083,148.74134981440812
1084,147.60501301523914
1085,145.89699872641862
1086,143.69733112321197
1087,141.0989171469905
1088,138.2031305434315
1089,135.11552807183838
1090,131.94202229362702
1091,128.78575299434831
1092,125.74480586369542
1093,122.91083661926886
1094,120.36858205334434
1095,118.19618292387088
1096,116.46620930293204
1097,115.24726546188042
1098,114.60605466442533
1099,114.60979907875307
1100,115.32893073430205
1101,116.83999057258322
1102,119.22868915859661
1103,122.59308989399928
1104,127.04686906097119
1105,132.72258188810218
1106,139.77481459537086
1107,148.38302283610537
1108,158.75374054999685
1109,171.12168429862837
1110,185.74907445820799
1111,202.9222519170119
1112,222.94440771186842
1113,246.12300801192842
1114,272.75036738176556
1115,303.075921722109
1116,337.26924323100314
1117,375.3739086464776
1118,417.2541306344614
1119,462.5386112943535
1120,510.5691355338996
1121,560.3643664145646
1122,610.6111003518128
1123,659.6946198013344
1124,705.7756896183388
1125,746.9139757152367
1126,781.2274151126514
1127,807.0669791246694
1128,823.1797126799286
1129,828.8326323873353
1130,823.8767695827553
1131,808.7425781167119
1132,784.3714658796096
1133,752.0994158607394
1134,713.5148345731344
1135,670.3132248940346
1136,624.1671718030506
1137,576.6235660768508
1138,529.0331024258929
1139,482.51138871713727
1140,437.9271948491005
1141,395.9114784152027
1142,356.8804687553024
1143,321.066746594957
1144,288.55343219531244
1145,259.30791872672904
1146,233.2128232037281
1147,210.0928539267475
1148,189.7370720854095
1149,171.9165669583409
1150,156.39790500034232
1151,142.9528975162374
1152,131.36530285839788
1153,121.4350744462376
1154,112.98071501668475
1155,105.84022239998244
1156,99.8710281360313
1157,94.94924736540456
1158,90.96848250390126
1159,87.83835716123971
1160,85.48290155624066
1161,83.83886609247142
1162,82.8540049711742
1163,82.48534573415108
1164,82.69744254984697
1165,83.46060024495297
1166,84.74905222594724
1167,86.53907849606445
1168,88.8070600629784
1169,91.52748316802767
1170,94.67093054721933
1171,98.20212615159286
1172,102.0781320201701
1173,106.24682746884416
1174,110.64582611132396
1175,115.2019990309595
1176,119.83176599299665
1177,124.44228534839165
1178,128.93361443842628
1179,133.20182749440582
1180,137.1429743897178
1181,140.6576538317963
1182,143.65587548549053
1183,146.06181516916556
1184,147.8180412061959
1185,148.8888174465679
1186,149.26216949513486
1187,148.95052551546138
1188,147.98989354145263
1189,146.43769075333924
1190,144.36947389931524
1191,141.874915753515
1192,139.05341975368603
1193,136.00976232692344
1194,132.85010664375062
1195,129.6786551785382
1196,126.59511665229617
1197,123.69307037219211
1198,121.05922950199529
1199,118.77354208988413
1200,116.91002802897886
1201,115.53823097412207
1202,114.72516322384527
1203,114.53763369309443
1204,115.0448687126894
1205,116.32135693087096
1206,118.44986791135717
1207,121.52460439861349
1208,125.65444612174106
1209,130.96622371873335
1210,137.607919617357
1211,145.75162249774243
1212,155.5959567446123
1213,167.36756195279958
1214,181.32100651159163
1215,197.73628642580124
1216,216.91280129160486
1217,239.15845044762287
1218,264.7723221712933
1219,294.0194669969821
1220,327.09660631790126
1221,364.08851278252905
1222,404.91637898045457
1223,449.2818360785009
1224,496.6132424074144
1225,546.0239278191435
1226,596.2943287914935
1227,645.8901474138829
1228,693.0256385430733
1229,735.7743585025994
1230,772.2199554346884
1231,800.6291139566512
1232,819.6208646026688
1233,828.3041971061922
1234,826.3606917028893
1235,814.0596347665471
1236,792.2065862818945
1237,762.0385932412676
1238,725.0870158295313
1239,683.0309753422488
1240,637.5614371177331
1241,590.2698476374647
1242,542.5682605784871
1243,495.6417402339719
1244,450.42945445992154
1245,407.62845670200386
1246,367.7134136455874
1247,330.96595560032944
1248,297.5083977727399
1249,267.3378919331832
1250,240.35834559615205
1251,216.40853907600223
1252,195.28572085413433
1253,176.76456822262116
1254,160.6117940409706
1255,146.59690496526454
1256,134.4997159667648
1257,124.1152396323847
1258,115.2565284991348
1259,107.75597864578016
1260,101.46552009076215
1261,96.25603559645062
1262,92.01627116026566
1263,88.65143243475316
1264,86.08160299598565
1265,84.24007282306374
1266,83.07162786391383
1267,82.53082316294697
1268,82.58024176629759
1269,83.18872877887591
1270,84.32958411697203
1271,85.9786985758928
1272,88.11262590261765
1273,90.70659870194395
1274,93.73251796644197
1275,97.15697387011565
1276,100.93938718620083
1277,105.03039286863705
1278,109.37061505694626
1279,113.88999984496789
1280,118.50787186617802
1281,123.13385703712832
1282,127.66976289873767
1283,132.01243012289518
1284,136.05746942495236
1285,139.70368852680946
1286,142.8579098141284
1287,145.4397989954188
1288,147.38628507680292
1289,148.65516367437075
1290,149.22754197367206
1291,149.10889749806213
1292,148.3286682630747
1293,146.93844698836236
1294,145.008993554473
1295,142.62638790996112
1296,139.88770727246148
1297,136.89662271929382
1298,133.75927573457963
1299,130.58072616360977
1300,127.46217406204994
1301,124.49906421527567
1302,121.7800964765479
1303,119.38709647805446
1304,117.39565422152326
1305,115.87641300317954
1306,114.89688539149383
1307,114.52368190528122
1308,114.82505608996728
1309,115.87369122483624
1310,117.74967363137166
1311,120.5436106632359
1312,124.3598533894792
1313,129.3197701121029
1314,135.5649821102137
1315,143.2604115798288
1316,152.59689719493147
1317,163.7929986545876
1318,177.0954333980384
1319,192.77736687147504
1320,211.13352339879845
1321,232.4708274684999
1322,257.09308336030483
1323,285.2781516091196
1324,317.246325286131
1325,353.1193252325529
1326,392.87070131479896
1327,436.2705564545957
1328,482.83032725841747
1329,531.7564662353947
1330,581.924469913364
1331,631.8856136273006
1332,679.916741161174
1333,724.1177433688747
1334,762.5522912825552
1335,793.4168177804838
1336,815.2137566171059
1337,826.9009268057094
1338,827.9917076325703
1339,818.5899474845917
1340,799.356673004313
1341,771.4186445701969
1342,736.2380728395323
1343,695.4664974468453
1344,650.8041110250582
1345,603.8803721094474
1346,556.1648134743821
1347,508.91043528762793
1348,463.127142234403
1349,419.57972424853676
1350,378.8037074211446
1351,341.1325446297031
1352,306.73054810356285
1353,275.62724275847495
1354,247.75012662062923
1355,222.953979932524
1356,201.0457860962374
1357,181.80500151557482
1358,164.99936188584206
1359,150.39668076496756
1360,137.77322715793144
1361,126.91930343917258
1362,117.64261731204552
1363,109.76997795447141
1364,103.14776605208817
1365,97.64154296060586
1366,93.13508381799167
1367,89.529047511255
