date,I,S,inc,R,cases,ran_cases,index
1944-04-15,2099.98,178604,237.568,2.2193e+06,191.122,191.692,0
1944-04-16,2083.77,178499,235.507,2.21942e+06,189.464,190.192,0
1944-04-17,2067.45,178396,233.439,2.21954e+06,187.801,194.432,0
1944-04-18,2051.03,178296,231.365,2.21965e+06,186.132,182.064,0
1944-04-19,2034.51,178197,229.285,2.21977e+06,184.459,190.359,0
1944-04-20,2017.89,178101,227.2,2.21988e+06,182.781,189.479,0
1944-04-21,2001.19,178006,225.11,2.21999e+06,181.1,187.815,0
1944-04-22,1984.41,177914,223.017,2.2201e+06,179.416,180.154,0
1944-04-23,1967.56,177824,220.921,2.22021e+06,177.73,180.009,0
1944-04-24,1950.64,177736,218.822,2.22031e+06,176.041,175.629,0
1944-04-25,1933.67,177650,216.722,2.22042e+06,174.352,173.057,0
1944-04-26,1916.63,177566,214.622,2.22052e+06,172.662,176.057,0
1944-04-27,1899.55,177484,212.521,2.22062e+06,170.972,169.951,0
1944-04-28,1882.43,177404,210.42,2.22071e+06,169.282,156.897,0
1944-04-29,1865.27,177327,208.321,2.22081e+06,167.593,163.7,0
1944-04-30,1848.08,177251,206.223,2.2209e+06,165.905,173.376,0
1944-05-01,1830.86,177178,204.128,2.22099e+06,164.22,168.229,0
1944-05-02,1813.62,177107,202.035,2.22108e+06,162.536,165.317,0
1944-05-03,1796.37,177037,199.946,2.22117e+06,160.856,162.829,0
1944-05-04,1779.12,176970,197.862,2.22125e+06,159.179,163.827,0
1944-05-05,1761.85,176905,195.782,2.22133e+06,157.505,154.941,0
1944-05-06,1744.59,176842,193.707,2.22141e+06,155.836,158.852,0
1944-05-07,1727.34,176782,191.638,2.22149e+06,154.172,158.691,0
1944-05-08,1710.1,176723,189.575,2.22157e+06,152.512,154.555,0
1944-05-09,1692.88,176666,187.519,2.22164e+06,150.858,155.997,0
1944-05-10,1675.68,176611,185.471,2.22171e+06,149.21,138.282,0
1944-05-11,1658.51,176559,183.43,2.22178e+06,147.568,135.708,0
1944-05-12,1641.37,176508,181.397,2.22185e+06,145.933,140.228,0
1944-05-13,1624.27,176459,179.374,2.22192e+06,144.305,143.477,0
1944-05-14,1607.2,176413,177.359,2.22198e+06,142.684,138.036,0
1944-05-15,1590.19,176368,175.354,2.22204e+06,141.071,137.099,0
1944-05-16,1573.22,176326,173.359,2.2221e+06,139.467,134.929,0
1944-05-17,1556.31,176285,171.375,2.22216e+06,137.87,138.207,0
1944-05-18,1539.45,176247,169.401,2.22221e+06,136.282,141.043,0
1944-05-19,1522.66,176210,167.439,2.22227e+06,134.704,135.5,0
1944-05-20,1505.93,176175,165.488,2.22232e+06,133.134,128.042,0
1944-05-21,1489.27,176142,163.549,2.22237e+06,131.574,129.257,0
1944-05-22,1472.69,176112,161.622,2.22242e+06,130.024,135.434,0
1944-05-23,1456.18,176083,159.708,2.22246e+06,128.484,126.075,0
1944-05-24,1439.75,176056,157.807,2.2225e+06,126.955,126.993,0
1944-05-25,1423.41,176031,155.919,2.22255e+06,125.436,121.901,0
1944-05-26,1407.15,176007,154.044,2.22259e+06,123.928,118.896,0
1944-05-27,1390.99,175986,152.183,2.22262e+06,122.43,120.193,0
1944-05-28,1374.91,175966,150.336,2.22266e+06,120.945,124.396,0
1944-05-29,1358.94,175949,148.503,2.22269e+06,119.47,125.33,0
1944-05-30,1343.06,175933,146.685,2.22272e+06,118.007,114.906,0
1944-05-31,1327.28,175919,144.882,2.22275e+06,116.557,117.794,0
1944-06-01,1311.6,175906,143.093,2.22278e+06,115.118,109.286,0
1944-06-02,1296.03,175896,141.319,2.22281e+06,113.691,117.528,0
1944-06-03,1280.57,175887,139.561,2.22283e+06,112.276,111.687,0
1944-06-04,1265.23,175880,137.818,2.22285e+06,110.874,109.741,0
1944-06-05,1249.99,175875,136.091,2.22288e+06,109.484,106.793,0
1944-06-06,1234.87,175871,134.379,2.22289e+06,108.107,106.407,0
1944-06-07,1219.86,175869,132.684,2.22291e+06,106.743,101.704,0
1944-06-08,1204.98,175869,131.004,2.22293e+06,105.392,108.491,0
1944-06-09,1190.21,175871,129.341,2.22294e+06,104.054,103.679,0
1944-06-10,1175.57,175874,127.693,2.22295e+06,102.729,93.4536,0
1944-06-11,1161.05,175879,126.062,2.22296e+06,101.417,103.023,0
1944-06-12,1146.66,175885,124.448,2.22297e+06,100.118,97.7339,0
1944-06-13,1132.39,175893,122.85,2.22297e+06,98.8322,105.968,0
1944-06-14,1118.25,175902,121.269,2.22298e+06,97.56,104.739,0
1944-06-15,1104.24,175913,119.704,2.22298e+06,96.3012,87.5786,0
1944-06-16,1090.36,175926,118.156,2.22298e+06,95.0558,93.3504,0
1944-06-17,1076.61,175940,116.625,2.22298e+06,93.8239,89.1924,0
1944-06-18,1062.99,175956,115.11,2.22298e+06,92.6054,90.1189,0
1944-06-19,1049.5,175973,113.612,2.22298e+06,91.4005,96.4804,0
1944-06-20,1036.15,175992,112.131,2.22297e+06,90.2091,95.3741,0
1944-06-21,1022.94,176012,110.667,2.22297e+06,89.0313,97.4627,0
1944-06-22,1009.85,176034,109.22,2.22296e+06,87.8669,89.9093,0
1944-06-23,996.907,176057,107.79,2.22295e+06,86.7162,86.3592,0
1944-06-24,984.097,176081,106.376,2.22293e+06,85.5789,88.0518,0
1944-06-25,971.424,176107,104.979,2.22292e+06,84.4552,82.5572,0
1944-06-26,958.887,176134,103.599,2.22291e+06,83.345,90.0218,0
1944-06-27,946.487,176163,102.236,2.22289e+06,82.2482,81.423,0
1944-06-28,934.224,176193,100.889,2.22287e+06,81.1649,81.4154,0
1944-06-29,922.099,176224,99.5593,2.22285e+06,80.0949,78.987,0
1944-06-30,910.111,176256,98.246,2.22283e+06,79.0384,82.7889,0
1944-07-01,898.26,176290,96.9492,2.22281e+06,77.9951,84.1115,0
