date,I,S,inc,R,cases,ran_cases,index
1944-01-07,7.92744,195386,4.24199,2.26938e+06,2.09899,0.757118,0
1944-01-14,9.36397,196178,5.83495,2.27125e+06,2.8872,3.66253,0
1944-01-21,11.1703,196969,7.02818,2.27311e+06,3.47763,2.61333,0
1944-01-28,13.4536,197758,8.54362,2.27497e+06,4.22749,1.6445,0
1944-02-04,16.3545,198546,10.4772,2.27684e+06,5.18425,3.69873,0
1944-02-11,20.0567,199332,12.9545,2.2787e+06,6.41003,7.58126,0
1944-02-18,24.8003,200114,16.1394,2.28057e+06,7.98599,6.15848,0
1944-02-25,30.8991,200892,20.246,2.28245e+06,10.018,9.70094,0
1944-03-03,38.7611,201666,25.5519,2.28432e+06,12.6434,14.6163,0
1944-03-10,48.9155,202432,32.416,2.2862e+06,16.0399,19.3378,0
1944-03-17,62.0446,203190,41.2991,2.28808e+06,20.4353,26.7575,0
1944-03-24,79.022,203936,52.7878,2.28998e+06,26.1201,26.1041,0
1944-03-31,100.957,204668,67.622,2.29188e+06,33.4602,44.1733,0
1944-04-07,129.245,205380,86.7239,2.29379e+06,42.9121,45.6389,0
1944-04-14,165.618,206068,111.227,2.29573e+06,55.0365,51.3623,0
1944-04-21,212.198,206726,142.502,2.29768e+06,70.5118,71.4087,0
1944-04-28,271.541,207343,182.175,2.29966e+06,90.1423,72.6649,0
1944-05-05,346.666,207911,232.129,2.30167e+06,114.86,112.448,0
1944-05-12,441.054,208417,294.49,2.30373e+06,145.717,129.433,0
1944-05-19,558.615,208846,371.572,2.30584e+06,183.858,182.32,0
1944-05-26,703.59,209180,465.79,2.30801e+06,230.478,219.931,0
1944-06-02,880.379,209402,579.521,2.31027e+06,286.754,286.554,0
1944-06-09,1093.3,209488,714.915,2.31263e+06,353.749,371.864,0
1944-06-16,1346.23,209416,873.652,2.3151e+06,432.294,421.822,0
1944-06-23,1642.22,209161,1056.67,2.31772e+06,522.851,526.955,0
1944-06-30,1982.95,208700,1263.85,2.32049e+06,625.368,632.353,0
1944-07-07,2368.3,208009,1493.78,2.32345e+06,739.14,719.345,0
1944-07-14,2795.81,207069,1743.52,2.32662e+06,862.714,816.47,0
1944-07-21,3260.4,205865,2008.52,2.33002e+06,993.839,990.492,0
1944-07-28,3754.23,204387,2282.7,2.33366e+06,1129.51,1162.54,0
1944-08-04,4266.77,202635,2558.7,2.33755e+06,1266.08,1302.93,0
1944-08-11,4785.29,200613,2828.36,2.34171e+06,1399.51,1455.76,0
1944-08-18,5295.55,198338,3083.24,2.34613e+06,1525.63,1567.53,0
1944-08-25,5782.8,195832,3315.38,2.35081e+06,1640.49,1612.24,0
1944-09-01,6232.79,193124,3517.86,2.35572e+06,1740.68,1733.85,0
1944-09-08,6632.91,190250,3685.4,2.36085e+06,1823.58,1847.73,0
1944-09-15,6973.04,187249,3814.66,2.36617e+06,1887.54,1887.88,0
1944-09-22,7246.17,184159,3904.37,2.37164e+06,1931.93,1884.75,0
1944-09-29,7448.72,181019,3955.25,2.37724e+06,1957.11,1916.59,0
1944-10-06,7580.46,177866,3969.68,2.38291e+06,1964.25,1913.78,0
1944-10-13,7644.14,174733,3951.32,2.38864e+06,1955.16,1996.4,0
1944-10-20,7644.97,171648,3904.66,2.39438e+06,1932.08,1870.75,0
1944-10-27,7589.88,168635,3834.58,2.4001e+06,1897.4,1891.92,0
1944-11-03,7486.87,165711,3745.96,2.40579e+06,1853.55,1800.07,0
1944-11-10,7344.33,162891,3643.42,2.4114e+06,1802.81,1843.12,0
1944-11-17,7170.55,160185,3531.11,2.41694e+06,1747.24,1780.1,0
1944-11-24,6973.25,157599,3412.6,2.42238e+06,1688.59,1690.09,0
1944-12-01,6759.37,155135,3290.82,2.42771e+06,1628.34,1588.75,0
1944-12-08,6534.86,152795,3168.09,2.43293e+06,1567.61,1555.78,0
1944-12-15,6304.65,150579,3046.18,2.43804e+06,1507.29,1507.37,0
1944-12-22,6072.66,148483,2926.31,2.44302e+06,1447.98,1465.14,0
1944-12-29,5841.87,146505,2809.32,2.44788e+06,1390.09,1431.94,0
1945-01-05,5613.34,144644,2694.5,2.45668e+06,1333.27,1330.32,0
1945-01-12,5383.47,142909,2576.2,2.46838e+06,1274.74,1259.25,0
1945-01-19,5153.66,141299,2458.89,2.47996e+06,1216.69,1166.86,0
1945-01-26,4925.35,139813,2343.45,2.49142e+06,1159.57,1190.05,0
1945-02-02,4699.54,138448,2230.03,2.50275e+06,1103.45,1122.95,0
