date,N
1944-01-01,2400000
1945-01-01,2400000
1946-01-01,2400000
1947-01-01,2400000
1948-01-01,2400000
1949-01-01,2400000
1950-01-01,2400000
1951-01-01,2400000
1952-01-01,2400000
1953-01-01,2400000
1954-01-01,2400000
1955-01-01,2400000
1956-01-01,2400000
1957-01-01,2400000
1958-01-01,2400000
1959-01-01,2400000
1960-01-01,2400000
1961-01-01,2400000
1962-01-01,2400000
1963-01-01,2400000
1964-01-01,2400000
1965-01-01,2400000
